,equipe,PJ,V,N,D,BF,BC,DB,PTS,taux_V,groupe,titres,finales,annees_titres
1,Brazil,115,76,20,19,238,109,129,248,66.1,C,5,7,"1958,1962,1970,1994,2002"
2,Germany,113,69,21,23,239,131,108,228,61.1,E,4,8,"1954,1974,1990,2014"
3,Argentina,88,47,17,24,152,101,51,158,53.4,J,3,5,"1978,1986,2022"
4,France,73,39,14,20,136,85,51,131,53.4,I,2,3,"1998,2018"
5,England,74,32,22,20,104,68,36,118,43.2,L,1,1,1966
6,Spain,67,31,17,19,108,75,33,110,46.3,H,1,1,2010
7,Netherlands,56,30,15,11,98,54,44,105,53.6,F,0,3,—
8,Uruguay,59,25,13,21,89,76,13,88,42.4,H,2,2,"1930,1950"
9,Sweden,52,20,13,19,85,74,11,73,38.5,F,0,1,—
10,Belgium,51,21,10,20,69,74,-5,73,41.2,G,0,0,—
11,Mexico,61,18,15,28,64,101,-37,69,29.5,A,0,0,—
12,Portugal,35,17,6,12,61,41,20,57,48.6,K,0,0,—
13,Switzerland,42,14,9,19,56,74,-18,51,33.3,B,0,0,—
14,Croatia,30,13,8,9,43,33,10,47,43.3,L,0,1,—
15,Austria,29,12,4,13,43,47,-4,40,41.4,J,0,0,—
16,United States,38,10,8,20,44,67,-23,38,26.3,D,0,0,—
17,South Korea,39,8,10,21,41,79,-38,34,20.5,A,0,0,—
18,Paraguay,28,7,10,11,31,42,-11,31,25.0,D,0,0,—
19,Colombia,22,9,3,10,32,30,2,30,40.9,K,0,0,—
20,Japan,26,7,7,12,27,35,-8,28,26.9,F,0,0,—
21,Morocco,24,5,8,11,21,28,-7,23,20.8,C,0,0,—
22,Scotland,24,5,7,12,26,41,-15,22,20.8,C,0,0,—
23,Australia,21,5,4,12,19,37,-18,19,23.8,D,0,0,—
24,Senegal,12,5,3,4,16,17,-1,18,41.7,I,0,0,—
25,Ghana,15,5,3,7,18,23,-5,18,33.3,L,0,0,—
26,Ecuador,14,5,2,7,14,15,-1,17,35.7,E,0,0,—
27,Turkey,11,5,1,5,20,19,1,16,45.5,D,0,0,—
28,Tunisia,19,3,5,11,15,31,-16,14,15.8,F,0,0,—
29,Saudi Arabia,19,4,2,13,14,44,-30,14,21.1,H,0,0,—
30,Iran,18,3,4,11,13,31,-18,13,16.7,G,0,0,—
31,Ivory Coast,10,4,1,5,14,14,0,13,40.0,E,0,0,—
32,Algeria,13,3,3,7,13,19,-6,12,23.1,J,0,0,—
33,South Africa,10,2,4,4,11,18,-7,10,20.0,A,0,0,—
34,Norway,8,2,3,3,7,8,-1,9,25.0,I,0,0,—
35,Bosnia and Herzegovina,4,1,1,2,5,5,0,4,25.0,B,0,0,—
36,New Zealand,6,0,3,3,4,14,-10,3,0.0,G,0,0,—
37,Egypt,7,0,2,5,5,12,-7,2,0.0,G,0,0,—
38,Canada,7,0,1,6,3,13,-10,1,0.0,B,0,0,—
39,Qatar,4,0,1,3,2,8,-6,1,0.0,B,0,0,—
40,Czechia,0,0,0,0,0,0,0,0,0.0,A,0,0,—
41,Haiti,4,0,0,4,2,15,-13,0,0.0,C,0,0,—
42,Curacao,0,0,0,0,0,0,0,0,0.0,E,0,0,—
43,Cape Verde,0,0,0,0,0,0,0,0,0.0,H,0,0,—
44,Iraq,3,0,0,3,1,4,-3,0,0.0,I,0,0,—
45,Jordan,0,0,0,0,0,0,0,0,0.0,J,0,0,—
46,DR Congo,3,0,0,3,0,14,-14,0,0.0,K,0,0,—
47,Uzbekistan,0,0,0,0,0,0,0,0,0.0,K,0,0,—
48,Panama,3,0,0,3,2,11,-9,0,0.0,L,0,0,—
