date,home_team,away_team,winner,first_shooter,first_shooter_connu
1967-08-22,India,Taiwan,Taiwan,Inconnu,False
1971-11-14,South Korea,Vietnam Republic,South Korea,Inconnu,False
1972-05-07,South Korea,Iraq,Iraq,Inconnu,False
1972-05-17,Thailand,South Korea,South Korea,Inconnu,False
1972-05-19,Thailand,Cambodia,Thailand,Inconnu,False
1973-04-21,Senegal,Ghana,Ghana,Inconnu,False
1973-06-14,Guinea,Mali,Guinea,Inconnu,False
1973-06-14,Mauritius,Tanzania,Mauritius,Inconnu,False
1973-07-26,Malaysia,Kuwait,Malaysia,Inconnu,False
1973-07-26,Cambodia,Singapore,Singapore,Inconnu,False
1973-07-27,Bangladesh,Thailand,Thailand,Inconnu,False
1973-07-28,Myanmar,South Korea,Myanmar,Inconnu,False
1973-08-09,India,Vietnam Republic,Vietnam Republic,Inconnu,False
1973-08-23,Algeria,Syria,Syria,Inconnu,False
1973-08-25,Algeria,Iraq,Algeria,Inconnu,False
1973-09-06,Singapore,Vietnam Republic,Vietnam Republic,Inconnu,False
1974-03-28,Qatar,United Arab Emirates,Qatar,Inconnu,False
1974-07-24,Hong Kong,Indonesia,Indonesia,Inconnu,False
1974-08-01,India,Indonesia,Indonesia,Inconnu,False
1974-10-09,Syria,Morocco,Morocco,Inconnu,False
1974-11-22,Libya,Tunisia,Tunisia,Inconnu,False
1974-12-18,South Korea,Malaysia,South Korea,Inconnu,False
1975-07-13,Morocco,Ghana,Morocco,Inconnu,False
1975-11-09,Kenya,Malawi,Kenya,Inconnu,False
1975-12-09,Thailand,Malaysia,Thailand,Inconnu,False
1975-12-23,Libya,Syria,Syria,Inconnu,False
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia,True
1976-12-22,South Korea,Malaysia,Malaysia,Inconnu,False
1977-01-09,Tunisia,Morocco,Tunisia,Inconnu,False
1977-03-22,Argentina,Iran,Argentina,Inconnu,False
1977-06-26,Zambia,Algeria,Zambia,Inconnu,False
1977-07-27,Iran,Morocco,Iran,Inconnu,False
1977-08-31,Paraguay,Argentina,Paraguay,Inconnu,False
1979-01-13,Guinea-Bissau,Mali,Mali,Inconnu,False
1979-01-14,Guinea-Bissau,Guinea,Guinea,Inconnu,False
1979-04-29,Cameroon,Guinea,Guinea,Inconnu,False
1979-05-22,Argentina,Netherlands,Argentina,Argentina,True
1979-08-31,Seychelles,Mauritius,Seychelles,Inconnu,False
1979-09-29,Indonesia,Thailand,Indonesia,Inconnu,False
1980-02-16,Gambia,Mauritania,Gambia,Inconnu,False
1980-03-19,Algeria,Egypt,Algeria,Inconnu,False
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy,True
1980-07-12,Nigeria,Tunisia,Nigeria,Inconnu,False
1980-11-30,Zambia,Morocco,Morocco,Inconnu,False
1980-12-31,Hong Kong,China PR,China PR,Inconnu,False
1981-02-13,Mali,Guinea,Guinea,Inconnu,False
1981-05-10,Rwanda,Ethiopia,Ethiopia,Inconnu,False
1981-12-13,Malaysia,Singapore,Malaysia,Inconnu,False
1982-02-21,Ivory Coast,Togo,Togo,Inconnu,False
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,Inconnu,False
1982-03-19,Libya,Ghana,Ghana,Inconnu,False
1982-05-15,Thailand,Singapore,Thailand,Inconnu,False
1982-05-17,Thailand,South Korea,Thailand,Inconnu,False
1982-07-08,Germany,France,Germany,France,True
1982-10-17,Indonesia,Malaysia,Indonesia,Inconnu,False
1982-11-27,Uganda,Kenya,Kenya,Inconnu,False
1983-02-06,Senegal,Niger,Senegal,Inconnu,False
1983-02-20,Gambia,Sierra Leone,Gambia,Inconnu,False
1983-02-27,Mali,Guinea,Mali,Inconnu,False
1983-04-22,Egypt,Congo,Egypt,Inconnu,False
1983-04-24,Mauritius,Ethiopia,Ethiopia,Inconnu,False
1983-06-04,Thailand,Malaysia,Thailand,Inconnu,False
1983-07-18,Hong Kong,Thailand,Thailand,Inconnu,False
1983-08-28,Morocco,Nigeria,Nigeria,Inconnu,False
1983-12-15,Ivory Coast,Mali,Ivory Coast,Inconnu,False
1983-12-18,Mali,Nigeria,Mali,Inconnu,False
1984-02-16,Sierra Leone,Mali,Sierra Leone,Inconnu,False
1984-02-19,Sierra Leone,Senegal,Senegal,Inconnu,False
1984-03-14,Egypt,Nigeria,Nigeria,Inconnu,False
1984-03-14,Algeria,Cameroon,Cameroon,Inconnu,False
1984-03-28,Iraq,Qatar,Iraq,Inconnu,False
1984-06-24,Denmark,Spain,Spain,Denmark,True
1984-07-15,Senegal,Angola,Angola,Inconnu,False
1984-11-23,Kenya,Somalia,Kenya,Inconnu,False
1984-11-28,Ghana,Togo,Ghana,Inconnu,False
1984-12-08,Kenya,Somalia,Kenya,Inconnu,False
1984-12-13,Saudi Arabia,Iran,Saudi Arabia,Inconnu,False
1984-12-15,Malawi,Zambia,Zambia,Inconnu,False
1984-12-16,Iran,Kuwait,Kuwait,Inconnu,False
1984-12-16,Chad,Equatorial Guinea,Chad,Inconnu,False
1984-12-19,Central African Republic,Gabon,Gabon,Inconnu,False
1984-12-20,Congo,Cameroon,Cameroon,Inconnu,False
1985-04-16,Mozambique,Malawi,Mozambique,Inconnu,False
1985-04-21,Madagascar,Egypt,Egypt,Inconnu,False
1985-07-10,Bahrain,Qatar,Bahrain,Inconnu,False
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia,Inconnu,False
1985-08-25,Mali,Guinea,Guinea,Inconnu,False
1985-08-31,Mauritius,Réunion,Mauritius,Inconnu,False
1985-09-15,Mozambique,Libya,Mozambique,Inconnu,False
1985-10-11,Kenya,Uganda,Kenya,Inconnu,False
